,Likes,Price,Pop_1E,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E,categories_cat,GeoID_cat
335,0.0,2.0,55649,51.2,332403.0,742,38605,44909,10740,7,106
336,46.0,2.0,55649,51.2,332403.0,742,38605,44909,10740,1,106
337,29.0,3.0,55649,51.2,332403.0,742,38605,44909,10740,6,106
338,80.0,2.0,78241,37.0,168839.0,1643,51730,61082,17159,4,101
339,134.0,2.0,78241,37.0,168839.0,1643,51730,61082,17159,1,101
340,179.0,2.0,69111,36.1,72416.0,6910,15340,39688,29423,2,24
341,0.0,1.0,69111,36.1,72416.0,6910,15340,39688,29423,3,24
342,0.0,1.0,39140,31.1,39706.0,7878,3429,23212,15928,3,56
343,8.0,3.0,38081,32.5,42188.0,8457,3408,20231,17850,7,78
344,24.0,1.0,38081,32.5,42188.0,8457,3408,20231,17850,2,78
345,5.0,2.0,56293,30.6,38224.0,11033,4375,33932,22361,4,65
346,88.0,3.0,32259,38.9,49756.0,5998,5475,20739,11520,6,3
347,2.0,3.0,34431,45.6,61830.0,3685,11984,10279,24152,9,2
348,1.0,1.0,34431,45.6,61830.0,3685,11984,10279,24152,1,2
349,10.0,3.0,34431,45.6,61830.0,3685,11984,10279,24152,9,2
350,11.0,2.0,27551,44.1,126194.0,1674,11558,21007,6544,8,55
351,4.0,1.0,27551,44.1,126194.0,1674,11558,21007,6544,3,55
352,3.0,1.0,52922,36.2,64581.0,9779,11512,29599,23323,3,80
353,18.0,3.0,31295,42.6,99641.0,3153,11667,22189,9106,4,59
354,42.0,2.0,31295,42.6,99641.0,3153,11667,22189,9106,10,59
355,0.0,1.0,31295,42.6,99641.0,3153,11667,22189,9106,6,59
356,46.0,2.0,31295,42.6,99641.0,3153,11667,22189,9106,7,59
357,39.0,2.0,22832,38.0,143550.0,1138,11307,18099,4733,8,17
358,0.0,3.0,22832,38.0,143550.0,1138,11307,18099,4733,9,17
