,name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
1292,Guatelinda,Li Li,86,"1766 Westchester Avenue, The Bronx",1766 Westchester Ave,90
1293,Fouta Halal,Halal,90,"1762 Westchester Avenue, The Bronx",1762 Westchester Ave,90
1294,Las Mella's Restaurant,La Mella Restaurant,93,"1452 Westchester Avenue, The Bronx",Westchester ave,90
1295,Sabana Food & Drink Lounges,Food & Drink,90,"1460 Westchester Avenue, The Bronx",Westchester ave,90
1296,New Wah,New Ho Wah,95,"1474 Westchester Avenue, The Bronx",1474 Westchester Ave,90
1297,Bravo,Bravo African Restaurant,90,"1473 Westchester Avenue, The Bronx",1473 Westchester Ave,90
1298,Vista Hermosa,Vista Hermosa Restaurant,90,"1201 Evergreen Avenue, The Bronx",1201 Evergreen Ave,90
1299,Lincoln Fried Chicken,O'Neals'/Lincoln Center Restaurant,86,"1487 Westchester Avenue, The Bronx",Westchester ave,90
1300,El Pabellon De Oro,Bar Sol De Quito Restaurant II,86,"1501 Westchester Avenue, The Bronx",Westchester ave,90
1301,Star Restaurant,Star Restaurant,100,"Whitlock Avenue, The Bronx",Between 39th and 40th street on 13th Avenue,86
1302,Las Viandas,Las Juanas Restaurant Asadero,86,"6102 Myrtle Avenue, Queens",Myrtle Ave.,90
1303,Ace Pizza & Pasta,pizza & pasta,95,"6104 Myrtle Avenue, Queens",6104 Myrtle Ave,90
1304,Corato II Pizza,Corato Pizza,95,"6091 Myrtle Avenue, Ridgewood",Myrtle Ave.,90
1305,Casa Coriz,Casa,90,"71-28 Fresh Pond Road, Flushing",152-28 Northern Blvd,86
1306,Trattoria Cerbone,Maria's Trattoria Restaurant,86,"71-24 Fresh Pond Road, Ridgewood",Rutland Road,86
1307,Bushwick Taco Company - Glendale,Glendale Pizza,86,"71-24 Fresh Pond Road, Glendale",Rutland Road,86
1308,Original Sals Pizza,Original Pizza,95,"6048 Myrtle Avenue, Flushing",6048 Myrtle Ave,90
1309,The Original Sal’s,Theresa's Polish American Restaurant,86,"60-48 Myrtle Avenue, Ridgewood",Myrtle Ave.,90
1310,New Delicious Wok,New Deli,90,"5952 Summerfield Street, Queens",Street,90
1311,Chiquita's,Theresa's Polish American Restaurant,86,"60-59 Myrtle Avenue, Ridgewood",Myrtle Ave.,90
1312,AMA COFFEE,Ama Coffee,100,"6047 Myrtle Avenue, Ridgewood",Myrtle Ave.,90
1313,Grace Pizza,Grace Pizza,100,"7005 Myrtle Avenue, Glendale",Myrtle Ave.,90
1314,The Avenue Restaurant & Bar,The Avenue Restaurant,95,"71-22 Myrtle Avenue, Glendale",Myrtle Ave.,90
1315,Glendale Diner,Diner,90,"71-08 Myrtle Avenue, Glendale",Myrtle Ave.,90
1316,Zum Stammtisch,Stammtisch Pork Store & Imports,86,"69-46 Myrtle Avenue, Queens",Myrtle Ave.,90
1317,Infit Nutrition,"Department of Nutrition, Food Studies, and Public Health",86,"69-44 Cooper Avenue, Queens",Between 39th and 40th street on 13th Avenue,86
1318,Joyo,Han Joo,77,"79-17 Myrtle Avenue, Glendale",79-17 Myrtle Ave,90
1319,Burrito Blvd,146-13 Northern Blvd Korean Restaurant,86,"72-64 Metropolitan Avenue, New York",New York,90
1320,Green Leaf,Green Leaf Chinese Restaurant,90,"7260 Metropolitan Avenue, Middle Village",Metropolitan Ave.,90
1321,Metro Diner,Diner,90,"73-24 Metropolitan Avenue, Middle Village",Metropolitan Ave.,90
1322,Carlo's Pizza,Carlos Pizza,96,"74-02 Metropolitan Avenue, Middle Village",74-02 Metropolitan Ave,90
1323,Don Tequila Urban Cantina,Don Veitia,86,"83-38 Woodhaven Boulevard, Glendale",142-38 Roosevelt Ave,86
1324,Superheros Grill & Grocery,Eros,90,"88-5 82nd Avenue, Glendale",2nd Ave,90
1325,Pizza Classica,Pizza Pizza,95,"89-89 Union Turnpike, Queens",2930 Union St,86
1326,Wing Wah,Wing Wah Chinese Restaurant,90,"98-12 Metropolitan Avenue, Forest Hills",98-12 Metropolitan Ave,90
1327,Cafe Amici,Stars Cafe & Restaurant,86,"7311 88th Street, Glendale",Street,90
1328,NTK,Print,72,"73-09 88th Street, Glendale",Street,90
1329,Associazione Sportiva Italiana di New York,New Ho Wah,86,"73-07 88th Street, Ridgewood",Street,90
1330,90 - 30 Metropolitan Avenue,Manna's Soul Food Restaurant - Lenox Avenue,86,"90-30 Metropolitan Avenue, Queens",Metropolitan Ave.,90
1331,Song's dumpling cafe,Theresa's Polish American Restaurant,86,"102-06 Metropolitan Avenue, Forest Hills",Metropolitan Ave.,90
1332,La Vigna,La Vigna Restaurant,90,"100-11 Metropolitan Avenue, Forest Hills",100-11,90
1333,Deasura,Dera,73,"100-05 Metropolitan Avenue, Queens",Metropolitan Ave.,90
1334,Alberto,Alberto Restaurant,90,"98-31 Metropolitan Avenue, Forest Hills",98-31 Metropolitan Ave,90
1335,Umi,Umi Sushi,90,"96-05 Metropolitan Avenue, Queens",Metropolitan Ave.,90
1336,Metro Taco,Mister Taco Mexican Restaurant,86,"102-15 Metropolitan Avenue, Forest Hills",Metropolitan Ave.,90
1337,Shalon,Shalon Restaurant,90,"2734 Jerome Avenue, The Bronx",2734 Jerome Ave,90
1338,New Kingsbridge Fresh Fish,Fish,90,The Bronx,"1095 Prospect Ave, Bronx, NY 10459",86
1339,Brother's Pizza,Brother's Pizza,100,"27 East Kingsbridge Road, The Bronx",178-27 Hillside Ave,86
1340,La Sorpresa Restaurant,Restaurant,90,"East Kingsbridge Road, The Bronx",823 East 169th Street,86
1341,La Cocina,La Cocina,100,"12 East Kingsbridge Road, The Bronx",152-12 Northern Blvd,86
1342,Kam Wah Kitchen,New Ho Wah,86,"2713 Briggs Avenue, The Bronx",2713 Briggs Ave,90
1343,New Capitol,New Fulin Kwok Seafood Restaurant,86,"2 West Kingsbridge Road, The Bronx",2-01 50th Ave,86
1344,Oscar's Kitchen La Casa De La Yaroa Y Patacon,Bar Sol De Quito Restaurant II,86,"2618 Jerome Avenue, The Bronx",2618 Jerome Ave,90
1345,Mexican Fast Food,Fast Food,90,"2620 Jerome Avenue, The Bronx",311 Avenue X,86
1346,Cơm Tấm Ninh Kiều,Kiku,68,"2641 Jerome Avenue, The Bronx",311 Avenue X,86
1347,Mei Mei,Mei Mei Chinese Restaurant,90,"2841 Grand Concourse, The Bronx",Grand Concourse,90
1348,El Buen Ambiente,El Morro Restaurant & Bar,86,"108 East 198th Street, The Bronx",Street,90
1349,Blanquita Resturant,Blanquita Restaurant,97,"2647 Briggs Avenue, The Bronx",2647 Briggs Ave,90
1350,Lenas,tardes calenas bakery,90,"206 East 198th Street, The Bronx",Street,90
1351,Pollo Sabroso,Pollo Sabroso,100,"216 East 198th Street, The Bronx",216 East,90
1352,"Pegue ,86 Restaurante",Restaurant,90,"220 East 198th Street, The Bronx",Street,90
1353,Corner Pizza,Pizza Corner,95,"3399 Jerome Avenue, The Bronx",311 Avenue X,86
1354,Happy Dragon,Happy Family Restaurant,86,"3388 Jerome Avenue, The Bronx",311 Avenue X,86
