,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
7420,Dishes,ChIJUYLVJeNYwokRNQ6A4AgtPVo,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",52,,,"827 3rd Avenue, New York",40.7561166,-73.9702732
7421,Dill & Parsley,ChIJ5fh5KONYwokRiicAj5crAII,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",158,,,"829 3rd Avenue, New York",40.756129,-73.970286
7422,Panda Express,ChIJ9cp8I-NYwokRnuyqdQQn0Po,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",778,1.0,,"835 3rd Avenue, New York",40.7562404,-73.97013
7423,Ess-a-Bagel,ChIJZyVQJONYwokREKv0a1J7bFI,4.1,"['bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1738,1.0,,"831 3rd Avenue, New York",40.7562409,-73.9702638
7424,The Pho 6,ChIJ_Wry6v9ZwokRqCbTkj9vveU,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",76,,,"222 East 51st Street, New York",40.7558658,-73.96952689999999
7425,SU KHUM VIT,ChIJPQyCHuNYwokRKUbeY1dIjPw,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",55,,,"224 East 51st Street, New York",40.7558274,-73.9694341
7426,Sukhumvit 51,ChIJUUOdHuNYwokRt5oitM1xOAw,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",311,1.0,,"224 East 51st Street, New York",40.7558344,-73.9694152
7427,Carol's Cafe,ChIJOx1BO-NYwokR69hCkQVaT64,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",21,,,"217 East 51st Street, New York",40.7561618,-73.9693441
7428,Shima Sushi,ChIJ9VmvaVNZwokRTwIQfnrX5l4,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",66,,,"226 East 51st Street, New York",40.7558395,-73.9692984
7429,Radiance,ChIJiSEE3OJYwokRGeDVWplldVY,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",176,2.0,,"208 East 50th Street, New York",40.7555028,-73.97037499999999
7430,Gyu-Kaku Japanese BBQ,ChIJszmN0-JYwokRk-XCDbO6X_Y,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1984,2.0,,"805 3rd Avenue #2, New York",40.7555178,-73.9704168
7431,McDonald's,ChIJreguL-NYwokRvJTESJMrp8g,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1052,1.0,,"824 3rd Avenue, East 50th Street, New York",40.7561546,-73.9707571
7432,Pampano Taqueria,ChIJszmN0-JYwokRx-g3B8rGzLw,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",45,1.0,,"805 3rd Avenue, New York",40.7555556,-73.9705556
7433,DeGrezia,ChIJH3iH4eJYwokRQXMk_H9d6sQ,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",115,3.0,,"231 East 50th Street, New York",40.75549499999999,-73.96943999999999
7434,Juice Press,ChIJp-wxLuNYwokR8w1Gdh87Hao,3.7,"['restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",37,2.0,,"830 3rd Avenue, New York",40.756398,-73.970725
7435,Le Bateau Ivre,ChIJ61dEHeNYwokRfiYg9zZ6Pyk,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",216,3.0,,"230 East 51st Street, New York",40.75580029999999,-73.96909889999999
7436,Silo Cafe,ChIJszmN0-JYwokRa3_orTaIizQ,3.6,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",9,,,"805 3rd Avenue # Ll2, New York",40.7554676,-73.9705784
