,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
13776,Shake Shack,ChIJE1mdlLxYwokRhrdJXmG9Y_8,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",3813.0,2.0,"154 East 86th Street, New York",40.7789293,-73.9550067,Manhattan,Upper East Side-Carnegie Hill
13777,Nicola's Restaurant,ChIJiVKOUbxYwokRIvJ_tXSlntA,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",98.0,3.0,"146 East 84th Street, New York",40.777891,-73.95621109999998,Manhattan,Upper East Side-Carnegie Hill
13778,Medo Halal Food Cart,ChIJ2bVshbxYwokRduiLWquYDI8,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,,"1520 3rd Avenue, New York",40.7784971,-73.95486650000002,Manhattan,Upper East Side-Carnegie Hill
13779,sweetgreen,ChIJgafoYLxYwokR6PybAH5rgo4,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",321.0,,"1500 3rd Avenue, New York",40.7780119,-73.95489169999998,Manhattan,Upper East Side-Carnegie Hill
13780,Juice Generation,ChIJZ5Q7QrxYwokRqT5wcR_z41Y,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",128.0,2.0,"1486 Third Avenue btw 83rd &, #84th, New York",40.7774232,-73.9552416,Manhattan,Upper East Side-Carnegie Hill
13781,Highlands Cafe,ChIJkYm8fLxYwokR23jZB6UPlOU,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",100.0,2.0,"1505 3rd Avenue, New York",40.77797,-73.954385,Manhattan,Yorkville
13782,Wrap & Roll Grill,ChIJ3YppmbxYwokRmNxe4NiDAw0,3.0,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",11.0,,"1530 3rd Avenue, New York",40.77916599999999,-73.9541569,Manhattan,Upper East Side-Carnegie Hill
13783,Piazza Pizza & Grille,ChIJZ1kCCrtYwokRKU5dCWGA3wk,4.0,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",27.0,2.0,"1530 3rd Avenue, New York",40.77918500000001,-73.95415799999998,Manhattan,Upper East Side-Carnegie Hill
13784,PJ Bernstein,ChIJSeZ4ROpYwokRQtjtlj5Phuw,4.5,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",188.0,2.0,"1215 3rd Avenue, New York",40.768515,-73.961252,Manhattan,Lenox Hill-Roosevelt Island
13785,Pen to Plate Studio,ChIJHxGfNepYwokRPEHcIEZ_WHM,,"['general_contractor', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,"169 East 69th Street, New York",40.768129,-73.9622337,Manhattan,Upper East Side-Carnegie Hill
13786,Dallas BBQ,ChIJOZSQmepYwokRGyoFV_YPkbU,4.1,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2217.0,2.0,"1265 3rd Avenue, New York",40.77007489999999,-73.9599131,Manhattan,Lenox Hill-Roosevelt Island
13787,Roma Pizza,ChIJeTGYU7tYwokRjb9tJw4CYeg,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",325.0,1.0,"1572 3rd Avenue, New York",40.7804721,-73.95318,Manhattan,Upper East Side-Carnegie Hill
13788,Otto's Tacos,ChIJK2CxTaJZwokRL2hIkvX2JWE,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",141.0,,"1568 3rd Avenue, New York",40.780337,-73.95320229999999,Manhattan,Upper East Side-Carnegie Hill
13789,Wok 88,ChIJwTaaU7tYwokR7o8KpdB3yOI,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",594.0,1.0,"1570 3rd Avenue #1, New York",40.7803402,-73.95310129999999,Manhattan,Upper East Side-Carnegie Hill
13790,Chick-fil-A,ChIJcdD7YIxZwokRP-0PIAQj3cU,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",397.0,1.0,"1536 3rd Avenue, New York",40.7792634,-73.95392729999998,Manhattan,Upper East Side-Carnegie Hill
13791,Siena Cafe,ChIJ9TbEraRYwokRrF2NKkUvxIw,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",210.0,2.0,"1580 3rd Avenue, New York",40.7806806,-73.9529194,Manhattan,Upper East Side-Carnegie Hill
13792,Papaya King,ChIJncNdzo5fwokR0uIie_AdVrk,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",743.0,1.0,"179 East 86th Street, New York",40.7790673,-73.9540821,Manhattan,Upper East Side-Carnegie Hill
13793,Churutto,ChIJWX_PnrxYwokRXkKf9JcYVXU,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",278.0,2.0,"1534 3rd Avenue, New York",40.7791167,-73.95394999999998,Manhattan,Upper East Side-Carnegie Hill
13794,Red Brick Cafe,ChIJKWsMNG5bwokRoEwNMZnUcCA,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",34.0,,"1114 Nostrand Avenue, Brooklyn",40.6605771,-73.95087020000003,Brooklyn,Prospect Lefferts Gardens-Wingate
13795,Prestige Deli & Grill,ChIJhX1uqmtbwokRezQeYrilqCE,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,"95 Clarkson Avenue, Brooklyn",40.6551354,-73.9564978,Brooklyn,Prospect Lefferts Gardens-Wingate
13796,Jen's Roti Shop,ChIJYXZEuUdbwokRrRRyfyiZW1s,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",198.0,1.0,"838 Flatbush Avenue, Brooklyn",40.6520031,-73.959471,Brooklyn,Flatbush
13797,El Caldero Restaurant Sport Bar,ChIJaZGNUjr0wokRAD17myWP9Os,4.0,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",435.0,1.0,"1267 Jerome Avenue, The Bronx",40.8374845,-73.92072019999998,Bronx,Highbridge
13798,Olga,ChIJJ8na4Dv0wokRVC1ypFwtlaE,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",28.0,,"1324 Jerome Avenue, The Bronx",40.838522,-73.9186821,Bronx,West Concourse
13799,Sun Fung,ChIJeeoH4zv0wokRGj00vTQq6ms,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",101.0,1.0,"2 Marcy Place, The Bronx",40.8387524,-73.91835959999997,Bronx,West Concourse
13800,Angiolina's Restaurant,ChIJoday4Dv0wokRVla0TjUaDNQ,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,"1320 Jerome Avenue, The Bronx",40.8384782,-73.91861870000002,Bronx,West Concourse
13801,Tacos San Lucas,ChIJaTsg3jv0wokR9pYAkzg2MEg,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",139.0,1.0,"1320 A Jerome Avenue, The Bronx",40.8384317,-73.9186734,Bronx,West Concourse
