,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
9268,G Natural,ChIJHUsAY-NdwokRitn5QNVgx8I,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,"8816 Jamaica Avenue, Jamaica",40.69251069999999,-73.85571089999998,Queens,Woodhaven,181,3
9269,Thailand Kitchen,ChIJEc6hiuNdwokRbf6_SnXTIzo,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",193.0,1.0,"86-05 Jamaica Avenue, Jamaica",40.69269349999999,-73.8579408,Queens,Woodhaven,181,3
9270,Sal's Pizzeria,ChIJj34rBuRdwokRYuV93lzMtdA,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",195.0,1.0,"85-07 Jamaica Avenue, Woodhaven",40.69264689999999,-73.85876800000003,Queens,Woodhaven,181,3
9271,El Puerto Mexicano,ChIJ24LHpuZdwokRfS01QL5EOZ4,3.8,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",159.0,2.0,"84-28 Jamaica Avenue, Woodhaven",40.6923596,-73.85981989999998,Queens,Woodhaven,181,3
9272,La Hueca Guayaca,ChIJK0SS7EVdwokRl3BzHqWKyGc,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",11.0,,"88-09 Jamaica Avenue, Queens",40.6928764,-73.85610179999998,Queens,Woodhaven,181,3
9273,No.1 Chinese Restaurant,ChIJMUuI-kldwokR375XVWL1vuE,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"88-17 Jamaica Avenue, Woodhaven",40.6928881,-73.8558108,Queens,Woodhaven,181,3
9274,NO.1 H Chinese Restaurant,ChIJuRkXP2ddwokRjmwf62dGCZs,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,,"88-17 Jamaica Avenue, Queens",40.6928881,-73.8558108,Queens,Woodhaven,181,3
9275,Ho Wong,ChIJvezNZONdwokRU9uTJDAKkNA,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",60.0,1.0,"88-17 Jamaica Avenue, Jamaica",40.69288809999999,-73.85581069999998,Queens,Woodhaven,181,3
9276,Guadalupana Deli Restaurant,ChIJd2FAr-ZdwokRoYhwJ-4PcIA,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",67.0,,"84-25 Jamaica Avenue, Woodhaven",40.69261379999999,-73.86008879999999,Queens,Woodhaven,181,3
9277,La Oficina Grill & Bar,ChIJd8XG2l5dwokR55tWMmpo9Vc,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,"84-21 Jamaica Avenue, Jamaica",40.6925916,-73.8602037,Queens,Woodhaven,181,3
9278,Antojitos de San Cecilio,ChIJpx1cWuNdwokRms_MIlwSTjM,4.0,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",25.0,,"90-04 Jamaica Avenue, Woodhaven",40.69266289999999,-73.85442640000002,Queens,Woodhaven,181,3
9279,Mistura Peruana,ChIJnYDte-ddwokRbiLo5Ncg6h4,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",195.0,2.0,"8423 Jamaica Avenue, Woodhaven",40.6926689,-73.86013790000001,Queens,Woodhaven,181,3
9280,Asian Garden,ChIJQy8ZsOZdwokRjlYn8SedL9I,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",35.0,,"84-17 Jamaica Avenue, Woodhaven",40.692586,-73.86030970000002,Queens,Woodhaven,181,3
